iter	Passed	Remaining
651	2559	1365
652	2563	1362
653	2568	1358
654	2571	1354
655	2575	1350
656	2581	1347
657	2585	1343
658	2590	1340
659	2596	1337
660	2602	1334
661	2605	1330
662	2611	1327
663	2617	1324
664	2623	1321
665	2629	1318
666	2633	1314
667	2638	1311
668	2644	1308
669	2649	1304
670	2653	1301
671	2657	1297
672	2662	1293
673	2666	1289
674	2670	1285
675	2675	1282
676	2679	1278
677	2683	1274
678	2689	1271
679	2694	1267
680	2697	1263
681	2703	1260
682	2708	1257
683	2711	1252
684	2716	1249
685	2721	1245
686	2725	1241
687	2746	1245
688	2751	1242
689	2758	1239
690	2764	1236
691	2768	1232
692	2773	1228
693	2778	1225
694	2784	1221
695	2788	1217
696	2792	1214
697	2798	1210
698	2803	1207
699	2807	1203
700	2811	1199
701	2815	1195
702	2818	1190
703	2822	1186
704	2826	1182
705	2830	1178
706	2833	1174
707	2837	1170
708	2841	1166
709	2845	1162
710	2849	1158
711	2852	1153
712	2856	1149
713	2860	1145
714	2863	1141
715	2866	1137
716	2871	1133
717	2874	1129
718	2878	1125
719	2882	1121
720	2886	1117
721	2890	1112
722	2893	1108
723	2896	1104
724	2900	1100
725	2904	1096
726	2907	1091
727	2911	1087
728	2914	1083
729	2918	1079
730	2921	1075
731	2925	1070
732	2928	1066
733	2932	1062
734	2935	1058
735	2939	1054
736	2942	1050
737	2945	1045
738	2949	1041
739	2953	1037
740	2957	1033
741	2960	1029
742	2964	1025
743	2968	1021
744	2972	1017
745	2975	1013
746	2979	1009
747	2982	1004
748	2986	1000
749	2990	996
750	2993	992
751	2997	988
752	3000	984
753	3004	980
754	3007	975
755	3011	972
756	3015	967
757	3019	963
758	3022	959
759	3026	955
760	3029	951
761	3032	947
762	3035	942
763	3039	938
764	3043	934
765	3046	930
766	3049	926
767	3053	922
768	3057	918
769	3060	914
770	3064	910
771	3067	905
772	3071	901
773	3074	897
774	3078	893
775	3081	889
776	3085	885
777	3089	881
778	3092	877
779	3095	873
780	3099	869
781	3102	864
782	3106	860
783	3109	856
784	3112	852
785	3116	848
786	3120	844
787	3123	840
788	3127	836
789	3130	832
790	3134	828
791	3138	824
792	3141	820
793	3145	816
794	3148	811
795	3152	808
